date,close,EMA_12,EMA_26,MACD,Signal,MACD_Histogram,Buy_Signal,Sell_Signal
2025-06-04 09:10:00,334.0,334.0,334.0,0.0,0.0,0.0,False,False
2025-06-04 09:20:00,329.4,333.29230769230765,333.6592592592592,-0.3669515669515704,-0.07339031339031409,-0.2935612535612563,False,True
2025-06-04 09:30:00,329.85,332.76272189349106,333.3770919067215,-0.6143700132304275,-0.18158625335833678,-0.4327837598720907,False,False
2025-06-04 09:40:00,327.9,332.01461083295396,332.9713813951125,-0.9567705621585105,-0.3366231151183715,-0.620147447040139,False,False
2025-06-04 09:50:00,328.05,331.4046707048072,332.60683462510417,-1.2021639202969823,-0.5097312761540936,-0.6924326441428886,False,False
2025-06-04 10:00:00,327.55,330.8116444425292,332.23225428250385,-1.4206098399746452,-0.691906988918204,-0.7287028510564412,False,False
2025-06-04 10:10:00,327.55,330.3098529898324,331.88542063194797,-1.5755676421155727,-0.8686391195576778,-0.7069285225578948,False,False
2025-06-04 10:20:00,327.75,329.9160294529351,331.5790931777296,-1.6630637247944833,-1.027524040605039,-0.6355396841894443,False,False
2025-06-04 10:30:00,328.2,329.6520249217143,331.3287899793793,-1.6767650576649658,-1.1573722440170244,-0.5193928136479413,False,False
2025-06-04 10:40:00,328.6,329.4901749337583,331.12665738831413,-1.6364824545558463,-1.253194286124789,-0.3832881684310574,False,False
2025-06-04 10:50:00,329.4,329.4763018670262,330.9987568410316,-1.5224549740053703,-1.3070464237009052,-0.21540855030446515,False,False
2025-06-04 11:00:00,328.8,329.3722554259453,330.83588596391814,-1.463630537972847,-1.3383632465552937,-0.12526729141755322,False,False
2025-06-04 11:10:00,329.4,329.3765238219537,330.72952404066496,-1.3530002187112586,-1.3412906409864869,-0.01170957772477177,False,False
2025-06-04 11:20:00,330.4,329.5339816954993,330.70511485246755,-1.171133156968267,-1.307259144182843,0.13612598721457592,True,False
2025-06-04 11:30:00,330.75,329.7210614346533,330.7084396782107,-0.9873782435574299,-1.2432829640577603,0.2559047205003304,False,False
2025-06-04 11:40:00,330.9,329.90243659855275,330.7226293316766,-0.8201927331238608,-1.1586649178709805,0.3384721847471197,False,False
2025-06-04 11:50:00,330.4,329.97898481416,330.6987308626635,-0.7197460485035094,-1.0708811439974864,0.3511350954939769,False,False
2025-06-04 12:00:00,330.3,330.0283717658277,330.66919524320696,-0.6408234773792287,-0.9848696106738348,0.3440461332946061,False,False
2025-06-04 12:10:00,330.05,330.0316991864696,330.6233289288954,-0.5916297424257664,-0.9062216370242212,0.3145918945984548,False,False
2025-06-04 12:20:00,330.7,330.1345146962435,330.6290082674957,-0.4944935712521783,-0.8238760238698126,0.3293824526176343,False,False
2025-06-04 12:30:00,330.9,330.25228166605217,330.6490817291627,-0.3968000631105042,-0.7384608317179511,0.3416607686074469,False,False
2025-06-04 12:40:00,330.5,330.29039217896724,330.6380386381136,-0.34764645914634684,-0.6602979572036303,0.31265149805728343,False,False
