,close,EMA_12,EMA_26,MACD,Signal,MACD_Histogram,Buy_Signal,Sell_Signal
0,241.99,241.99,241.99,0.0,0.0,0.0,False,False
1,244.0,242.29923076923077,242.1388888888889,0.1603418803418606,0.032068376068372116,0.12827350427348846,True,False
2,243.0,242.40704142011836,242.20267489711938,0.20436652299898128,0.06652800545449396,0.13783851754448734,False,False
3,243.0,242.49826581702322,242.26173601585128,0.23652980117194033,0.10052836459798324,0.13600143657395708,False,False
4,242.98,242.57237876825042,242.31494075541787,0.2574380128325515,0.13191029424489692,0.1255277185876546,False,False
5,243.5,242.71508972698115,242.40272292168322,0.31236680529792693,0.16800159645550294,0.144365208842424,False,False
6,243.0,242.75892207667636,242.4469656682252,0.31195640845115236,0.19679255885463284,0.11516384959651951,False,False
7,244.0,242.94985714180308,242.56200524835668,0.3878518934463955,0.2350044257729854,0.1528474676734101,False,False
8,241.1,242.66526373537184,242.45370856329322,0.21155517207861863,0.23031457503411204,-0.018759402955493415,False,True
9,242.8,242.68599239146846,242.47935978082705,0.2066326106414067,0.225578182155571,-0.01894557151416429,False,False
10,242.8,242.70353202355022,242.5031109081732,0.20042111537702567,0.22054676879986193,-0.02012565342283626,False,False
11,241.1,242.45683478915788,242.39917676682703,0.057658022330855374,0.18796901950606063,-0.13031099717520525,False,False
12,241.72,242.3434755908259,242.3488673766917,-0.0053917858657825946,0.149296858431692,-0.1546886442974746,False,False
13,242.74,242.40447934608346,242.37784016360342,0.02663918248003938,0.12476532324136147,-0.09812614076132209,False,False
14,242.74,242.45609790822448,242.40466681815133,0.05143109007315161,0.1100984766077195,-0.05866738653456789,False,False
15,242.7,242.49362130695917,242.4265433501401,0.06707795681907669,0.10149437264999095,-0.03441641583091426,False,False
16,242.1,242.4330641828116,242.40235495383342,0.030709228978167857,0.08733734391562634,-0.05662811493745848,False,False
17,242.0,242.36643892391749,242.3725508831791,-0.006111959261602351,0.06864748328018061,-0.07475944254178296,False,False
18,241.8,242.27929447408405,242.3301397066473,-0.05084523256323337,0.04474894011149781,-0.09559417267473118,False,False
19,241.75,242.19786455499423,242.28716639504376,-0.08930184004952935,0.017938784079292384,-0.10724062412882174,False,False
20,240.4,241.92127000807204,242.14737629170716,-0.22610628363511864,-0.030870229463589825,-0.1952360541715288,False,False
21,241.75,241.89492077606099,242.11794101083996,-0.22302023477897137,-0.06930023052666615,-0.15372000425230523,False,False
22,242.0,241.91108681051313,242.10920463966661,-0.19811782915348886,-0.09506375025203069,-0.10305407890145817,False,False
23,240.69,241.7232273012034,242.00407837006168,-0.2808510688582828,-0.13222121397328113,-0.1486298548850017,False,False
24,239.9,241.44273079332595,241.84822071302005,-0.4054899196941051,-0.18687495511744592,-0.21861496457665916,False,False
25,239.99,241.2192337481989,241.71057473427783,-0.4913409860789386,-0.24776816130974447,-0.24357282476919415,False,False
26,238.15,240.74704394078367,241.44682845766465,-0.6997845168809818,-0.33817143242399195,-0.3616130844569898,False,False
27,238.16,240.34903718066312,241.20335968302282,-0.8543225023597074,-0.4414016464111351,-0.4129208559485723,False,False
