buy_date,sell_date,buy_price,sell_price,profit,return_pct
449,477,238.0,252.0,1400.0,5.88235294117647
508,523,252.0,254.0,200.0,0.7936507936507936
544,547,253.75,252.64,-111.00000000000136,-0.4374384236453256
548,549,253.9,252.64,-126.00000000000193,-0.4962583694367938
563,566,253.52,252.65,-87.00000000000045,-0.3431681918586323
582,584,253.5,251.0,-250.0,-0.9861932938856016
585,586,253.5,251.0,-250.0,-0.9861932938856016
587,588,253.5,251.0,-250.0,-0.9861932938856016
589,594,253.0,252.0,-100.0,-0.3952569169960474
596,597,253.5,251.05,-244.99999999999886,-0.966469428007885
598,599,253.7,251.1,-259.99999999999943,-1.024832479306265
600,603,253.44,251.3,-213.99999999999864,-0.8443813131313078
605,606,252.49,252.0,-49.00000000000091,-0.19406709176601414
609,618,253.39,252.0,-138.99999999999864,-0.5485615059789204
631,637,253.45,251.25,-219.99999999999886,-0.8680213059775059
645,653,252.59,251.1,-149.0000000000009,-0.5898887525238564
667,687,251.91,251.5,-40.99999999999966,-0.1627565400341378
688,689,252.4,251.25,-115.00000000000057,-0.4556259904912859
691,693,252.5,251.25,-125.0,-0.49504950495049505
694,695,252.37,251.25,-112.00000000000045,-0.44379284384039486
696,698,252.37,251.26,-111.00000000000136,-0.43983040773468063
699,704,252.37,251.26,-111.00000000000136,-0.43983040773468063
719,727,252.0,251.32,-68.00000000000068,-0.26984126984127255
732,742,252.0,251.3,-69.99999999999886,-0.2777777777777733
743,747,253.0,252.5,-50.0,-0.1976284584980237
750,760,257.4,254.52,-287.9999999999967,-1.1188811188811063
792,802,255.0,254.0,-100.0,-0.39215686274509803
808,812,254.9,254.05,-84.99999999999943,-0.33346410357002526
815,816,254.94,253.7,-124.00000000000091,-0.4863889542637519
840,841,253.39,251.0,-238.99999999999864,-0.943210071431385
842,849,253.33,251.74,-159.00000000000034,-0.6276398373662825
851,864,251.74,252.0,25.99999999999909,0.10328116310478705
865,866,253.0,251.52,-147.99999999999898,-0.5849802371541462
869,880,253.4,252.14,-126.00000000000193,-0.4972375690607811
881,882,253.2,251.63,-156.99999999999932,-0.6200631911532359
884,886,253.2,251.8,-139.99999999999773,-0.5529225908372739
890,891,253.18,251.8,-137.99999999999955,-0.5450667509281916
892,894,253.1,251.8,-129.9999999999983,-0.5136309758988475
895,898,253.05,251.52,-153.0000000000001,-0.6046235921754598
900,901,253.05,251.15,-190.00000000000057,-0.7508397549891348
903,908,252.99,252.0,-99.00000000000091,-0.3913198150124547
910,913,252.99,252.0,-99.00000000000091,-0.3913198150124547
915,916,252.97,252.0,-96.99999999999989,-0.38344467723445425
919,921,253.05,251.55,-150.0,-0.5927682276229994
924,925,252.97,251.5,-146.9999999999999,-0.5810965727161319
930,948,252.97,253.0,3.0000000000001137,0.011859113728901109
964,968,253.4,253.02,-37.999999999999545,-0.1499605367008664
994,1001,253.29,253.0,-28.999999999999204,-0.11449326858541278
1002,1004,253.29,253.0,-28.999999999999204,-0.11449326858541278
1005,1006,253.25,253.0,-25.0,-0.09871668311944717
1017,1018,253.2,253.0,-19.999999999998863,-0.07898894154817876
1020,1025,253.29,253.0,-28.999999999999204,-0.11449326858541278
1031,1038,253.5,251.51,-199.0000000000009,-0.7850098619329424
1045,1046,253.35,251.05,-229.9999999999983,-0.9078350108545423
1047,1051,253.3,251.16,-214.00000000000148,-0.8448480063166264
1055,1068,253.0,251.35,-165.00000000000057,-0.6521739130434805
1083,1093,252.95,251.55,-139.99999999999773,-0.5534690650326062
1096,1097,252.85,252.0,-84.99999999999943,-0.3361676883527761
1108,1112,252.5,252.0,-50.0,-0.19801980198019803
1120,1124,252.5,251.55,-94.99999999999886,-0.3762376237623717
1125,1137,255.51,252.66,-284.99999999999943,-1.1154162263707856
1139,1140,255.0,254.06,-93.99999999999977,-0.3686274509803913
1156,1157,253.8,253.65,-15.000000000000568,-0.05910165484633793
1161,1178,254.29,254.48,18.999999999999773,0.0747178418341255
1187,1189,254.9,254.5,-40.00000000000057,-0.15692428403295633
1192,1197,255.0,254.56,-43.99999999999977,-0.17254901960784225
1222,1249,253.85,255.46,161.00000000000136,0.6342328146543288
1258,1268,256.59,256.5,-8.999999999997499,-0.035075412136082854
1297,1310,255.69,255.73,3.999999999999204,0.015643943838238507
1323,1331,256.51,255.79,-71.99999999999989,-0.2806908112744138
1340,1341,255.88,255.1,-78.00000000000011,-0.30483038924495903
1347,1353,255.96,255.13,-83.00000000000125,-0.3242694170964262
1354,1356,255.73,255.1,-62.999999999999545,-0.24635357603722496
1368,1376,255.59,255.01,-58.00000000000125,-0.22692593606949119
1378,1391,255.7,255.1,-59.99999999999943,-0.23464998044583274
1397,1406,255.48,255.16,-31.999999999999318,-0.12525442304681117
1409,1410,255.67,255.31,-35.99999999999852,-0.14080650838971537
1421,1422,255.41,255.0,-40.99999999999966,-0.16052621275595966
1428,1441,255.56,255.1,-46.000000000000796,-0.1799968696196619
1442,1443,255.44,255.02,-41.99999999999875,-0.16442217350453628
1461,1492,254.82,255.34,52.00000000000102,0.20406561494388598
1499,1500,256.0,254.1,-190.00000000000057,-0.7421875000000022
1505,1517,256.93,258.0,106.99999999999932,0.4164558440042009
1537,1554,259.3,268.2,889.9999999999977,3.432317778634777
1875,1881,270.5,267.45,-305.00000000000114,-1.1275415896488026
1902,1920,264.05,264.58,52.99999999999727,0.20071956068925303
1937,1957,263.47,264.31,83.9999999999975,0.31882187725356775
1966,1967,264.95,264.81,-13.999999999998636,-0.05284015852047041
1969,1970,264.98,264.8,-18.000000000000682,-0.06792965506830961
1971,1974,265.0,264.9,-10.000000000002274,-0.037735849056612356
1976,1991,265.49,267.77,227.99999999999727,0.8587894082639544
2016,2026,266.99,266.59,-40.00000000000341,-0.1498183452563894
2039,2048,266.5,266.12,-37.999999999999545,-0.14258911819887257
2052,2056,266.44,266.0,-43.99999999999977,-0.16514036931391599
2070,2087,264.87,265.01,13.999999999998636,0.05285611809566442
2088,2090,265.73,264.93,-80.00000000000114,-0.3010574643435108
2096,2098,265.57,264.97,-59.99999999999659,-0.22592913356175992
2100,2101,265.38,265.08,-30.000000000001137,-0.11304544426860026
2109,2121,265.06,265.04,-1.999999999998181,-0.007545461404958051
2138,2155,265.59,265.6,1.0000000000047748,0.0037652020031054443
